date,price1,price2,signal,position,shares1,shares2,cash,position_value,portfolio_value,commission_paid,borrow_cost,total_commission,total_borrow_cost,returns,cumulative_returns
2011-04-29,26.49736213684082,20.124053955078125,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-02,26.6400146484375,20.22372817993164,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-03,26.6400146484375,19.970733642578125,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-04,26.52588653564453,19.74841690063477,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-05,26.397497177124023,19.74841690063477,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-06,26.38324928283692,19.65641021728516,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-09,26.36184883117676,19.74841690063477,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-10,26.58296012878418,20.09339714050293,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-11,26.55442237854004,19.886404037475582,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-12,26.597227096557617,19.917076110839844,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-13,26.397497177124023,19.74841690063477,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-16,26.3761043548584,19.043109893798828,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-17,26.67568016052246,18.9741153717041,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-18,26.71847915649414,19.20410919189453,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-19,26.668546676635746,18.997108459472656,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
2011-05-20,26.42603874206543,18.75178909301757,NEUTRAL,0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0
