Date,HD,LOW
2014-03-27,60.2260971069336,39.27134323120117
2014-03-28,60.25672149658203,39.57879638671875
2014-03-31,60.57051086425781,39.56260299682617
2014-04-01,60.76190185546875,39.99140167236328
2014-04-02,61.198238372802734,40.0642204284668
2014-04-03,60.77722930908203,39.68396759033203
2014-04-04,60.25672149658203,39.19044494628906
2014-04-07,59.03961944580078,37.83932876586914
2014-04-08,59.02433776855469,37.80697250366211
2014-04-09,59.52187347412109,38.46230316162109
2014-04-10,58.7717170715332,37.85551452636719
2014-04-11,57.94501495361328,37.46718597412109
2014-04-14,58.15171813964844,37.734169006347656
2014-04-15,58.09047317504883,37.79078674316406
2014-04-16,58.61864471435547,37.80697250366211
2014-04-17,59.00899887084961,37.86359405517578
2014-04-21,59.67495727539063,37.91234970092773
2014-04-22,60.9838981628418,38.61080551147461
2014-04-23,60.103614807128906,37.53872299194336
2014-04-24,61.06041717529297,38.30218124389648
2014-04-25,60.76190185546875,37.66868209838867
2014-04-28,61.36663055419922,37.66868209838867
2014-04-29,60.86906051635742,37.70930862426758
2014-04-30,60.861427307128906,37.286956787109375
2014-05-01,60.72362518310547,37.66056442260742
2014-05-02,60.77722930908203,38.15599060058594
2014-05-05,60.23374938964844,37.59558868408203
2014-05-06,59.26162338256836,36.86463165283203
2014-05-07,59.00136947631836,36.63721084594727
2014-05-08,58.97840118408203,36.56411361694336
2014-05-09,59.48360443115234,37.12452697753906
2014-05-12,59.91223907470703,37.58747482299805
2014-05-13,59.14679336547852,37.165138244628906
2014-05-14,58.41195297241211,36.68595123291016
2014-05-15,58.35837173461914,36.24736785888672
2014-05-16,59.2156867980957,36.84027862548828
2014-05-19,58.55740737915039,36.994571685791016
2014-05-20,59.67495727539063,36.9702033996582
2014-05-21,59.766822814941406,36.8808708190918
2014-05-22,60.30263900756836,38.08287811279297
2014-05-23,60.60879898071289,38.220951080322266
2014-05-27,60.99919891357422,38.80571365356445
2014-05-28,60.9915657043457,37.93669891357422
2014-05-29,61.15993881225586,38.18034744262695
2014-05-30,61.41253662109375,38.23720550537109
2014-06-02,61.87945556640625,38.18034744262695
2014-06-03,62.11046600341797,38.35091018676758
2014-06-04,62.01035690307617,38.3102912902832
2014-06-05,61.88715744018555,38.49710464477539
2014-06-06,62.087379455566406,38.797611236572266
2014-06-09,62.06425476074219,38.66765594482422
2014-06-10,62.16436767578125,38.65141296386719
2014-06-11,61.44829177856445,38.09913635253906
2014-06-12,60.38579177856445,36.994571685791016
2014-06-13,60.108619689941406,36.913352966308594
2014-06-16,60.7476806640625,36.88898468017578
2014-06-17,61.609989166259766,37.23008728027344
2014-06-18,62.14124298095703,37.23008728027344
2014-06-19,61.93336486816406,37.27884292602539
2014-06-20,61.72549819946289,37.37630844116211
2014-06-23,62.087379455566406,37.42502975463867
2014-06-24,61.92566680908203,37.77425765991211
2014-06-25,62.00267028808594,37.92858505249024
2014-06-26,62.172061920166016,38.334659576416016
2014-06-27,62.464622497558594,38.51334381103516
2014-06-30,62.33376693725586,38.97628021240234
2014-07-01,62.99588394165039,39.08998489379883
2014-07-02,63.11906433105469,39.08186721801758
2014-07-03,63.17295837402344,39.17118835449219
2014-07-07,62.68790054321289,39.154972076416016
2014-07-08,62.17974853515625,38.83819961547852
2014-07-09,62.15665054321289,38.870704650878906
2014-07-10,61.13265228271485,38.334659576416016
