date,spread_raw,spread_filtered,P,K,z_score,signal,position
2011-05-26,-1.2912201811766728,-1.2470275073705415,0.002640585934374057,0.2640585934374056,0.3141482319667352,NEUTRAL,0
2011-05-27,-1.2960066125463992,-1.250783469213136,0.002640585934374057,0.2640585934374056,0.31024091162551837,NEUTRAL,0
2011-05-31,-1.2550292722838972,-1.242699576543634,0.002640585934374057,0.2640585934374056,0.31865057061234636,NEUTRAL,0
2011-06-01,-1.2528894296029174,-1.2362447540668395,0.002640585934374057,0.2640585934374056,0.325365510811286,NEUTRAL,0
2011-06-02,-1.25520551161706,-1.2321534680044226,0.002640585934374057,0.2640585934374056,0.32962166833454115,NEUTRAL,0
2011-06-03,-1.2591380094547802,-1.230211040500916,0.002640585934374057,0.2640585934374056,0.33164237216856834,NEUTRAL,0
2011-06-06,-1.1954408546710105,-1.2119760417019632,0.002640585934374057,0.2640585934374056,0.35061220858202663,NEUTRAL,0
2011-06-07,-1.2127911978979795,-1.203271857172012,0.002640585934374057,0.2640585934374056,0.35966715607427496,NEUTRAL,0
2011-06-08,-1.1848348851807775,-1.1895480404503183,0.002640585934374057,0.2640585934374056,0.3739440178963753,NEUTRAL,0
2011-06-09,-1.1751764740240431,-1.1769987282536758,0.002640585934374057,0.2640585934374056,0.38699904477608077,NEUTRAL,0
2011-06-10,-1.1560648468156938,-1.1628089359700429,0.002640585934374057,0.2640585934374056,0.4017606601361503,NEUTRAL,0
2011-06-13,-1.1169954389501857,-1.142153895947517,0.002640585934374057,0.2640585934374056,0.423248061076547,NEUTRAL,0
2011-06-14,-1.112694837225543,-1.125969394890457,0.002640585934374057,0.2640585934374056,0.44008476838159516,NEUTRAL,0
2011-06-15,-1.0777976721653268,-1.1049627625419813,0.002640585934374057,0.2640585934374056,0.4619379301855395,NEUTRAL,0
2011-06-16,-1.1257978657654517,-1.1023325720966497,0.002640585934374057,0.2640585934374056,0.46467411256944224,NEUTRAL,0
2011-06-17,-1.1490523362725558,-1.1065568054745811,0.002640585934374057,0.2640585934374056,0.46027965019326533,NEUTRAL,0
2011-06-20,-1.1777822596453698,-1.1172208890012363,0.002640585934374057,0.2640585934374056,0.4491858233040789,NEUTRAL,0
2011-06-21,-1.2225936047989099,-1.1368233689965226,0.002640585934374057,0.2640585934374056,0.42879339866459787,NEUTRAL,0
2011-06-22,-1.17869564121375,-1.1395137484103066,0.002640585934374057,0.2640585934374056,0.42599460180520077,NEUTRAL,0
2011-06-23,-1.2101724978309503,-1.149785644888343,0.002640585934374057,0.2640585934374056,0.41530876639645264,NEUTRAL,0
2011-06-24,-1.1769900971930567,-1.1485074656517147,0.002640585934374057,0.2640585934374056,0.4166384539546065,NEUTRAL,0
2011-06-27,-1.1503211279220569,-1.140534036762598,0.002640585934374057,0.2640585934374056,0.4249331976696197,NEUTRAL,0
2011-06-28,-1.1364313075751995,-1.1310570136316431,0.002640585934374057,0.2640585934374056,0.43479212776678533,NEUTRAL,0
2011-06-29,-1.1274267990950082,-1.1217745073920775,0.002640585934374057,0.2640585934374056,0.44444870229211947,NEUTRAL,0
2011-06-30,-1.0963152159078304,-1.1067961596046725,0.002640585934374057,0.2640585934374056,0.4600306505227537,NEUTRAL,0
2011-07-01,-1.1428335812371841,-1.108166779247289,0.002640585934374057,0.2640585934374056,0.4586047973767146,NEUTRAL,0
2011-07-05,-1.0958677494261106,-1.0967636565498118,0.002640585934374057,0.2640585934374056,0.4704674453844654,NEUTRAL,0
2011-07-06,-1.0598476546641926,-1.0789441311358825,0.002640585934374057,0.2640585934374056,0.48900506558365703,NEUTRAL,0
2011-07-07,-1.1463729197301178,-1.0888088855945586,0.002640585934374057,0.2640585934374056,0.4787427792844791,NEUTRAL,0
2011-07-08,-1.11570172890562,-1.0878971765453869,0.002640585934374057,0.2640585934374056,0.47969122856655144,NEUTRAL,0
2011-07-11,-1.0629210819713069,-1.073295738359573,0.002640585934374057,0.2640585934374056,0.49488107841737905,NEUTRAL,0
2011-07-12,-1.082862536380679,-1.067923105835266,0.002640585934374057,0.2640585934374056,0.5004702183575243,NEUTRAL,0
2011-07-13,-1.0983645953853869,-1.0681021544219194,0.002640585934374057,0.2640585934374056,0.5002839544352548,NEUTRAL,0
2011-07-14,-1.0828605979124468,-1.0641386422325754,0.002640585934374057,0.2640585934374056,0.5044071890284438,NEUTRAL,0
2011-07-15,-1.044103217639007,-1.051016679304054,0.002640585934374057,0.2640585934374056,0.5180579434333089,NEUTRAL,0
